Rez Class;Seg Arr Port;Seg Dep Port;Demande;ds
B;BKO;KYS;1;2020-9
D;KYS;BKO;1;2020-9
M;BKO;GAQ;0;2020-9
M;BKO;KYS;8;2020-9
M;GAQ;BKO;0;2020-9
M;KYS;BKO;12;2020-9
N;BKO;KYS;8;2020-9
N;KYS;BKO;9;2020-9
D;KYS;BKO;0;2020-10
M;BKO;KYS;0;2020-10
M;KYS;BKO;0;2020-10
N;BKO;KYS;0;2020-10
N;KYS;BKO;0;2020-10
M;BKO;KYS;11;2020-10
M;KYS;BKO;8;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
M;BKO;KYS;0;2020-10
M;KYS;BKO;0;2020-10
M;BKO;KYS;33;2020-10
M;KYS;BKO;47;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;BKO;KYS;1;2020-10
D;BKO;KYS;1;2020-10
M;BKO;KYS;19;2020-10
M;KYS;BKO;24;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
M;BKO;KYS;0;2020-10
B;KYS;BKO;3;2020-10
D;KYS;BKO;1;2020-10
G;BKO;KYS;23;2020-10
G;KYS;BKO;26;2020-10
M;BKO;KYS;13;2020-10
M;KYS;BKO;33;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;BKO;KYS;4;2020-10
D;BKO;KYS;1;2020-10
G;BKO;KYS;6;2020-10
G;KYS;BKO;18;2020-10
M;BKO;KYS;23;2020-10
M;KYS;BKO;21;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
G;BKO;KYS;29;2020-10
G;KYS;BKO;37;2020-10
M;BKO;KYS;5;2020-10
M;KYS;BKO;15;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
D;BKO;KYS;1;2020-10
D;KYS;BKO;1;2020-10
G;BKO;KYS;35;2020-10
G;KYS;BKO;23;2020-10
M;BKO;KYS;17;2020-10
M;KYS;BKO;18;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;BKO;KYS;0;2020-10
B;KYS;BKO;0;2020-10
G;BKO;KYS;19;2020-10
G;KYS;BKO;23;2020-10
M;BKO;KYS;20;2020-10
M;KYS;BKO;30;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;KYS;BKO;1;2020-10
D;BKO;KYS;1;2020-10
D;KYS;BKO;1;2020-10
G;BKO;KYS;28;2020-10
G;KYS;BKO;22;2020-10
M;BKO;KYS;21;2020-10
M;KYS;BKO;21;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
D;BKO;KYS;1;2020-10
D;KYS;BKO;2;2020-10
G;BKO;KYS;35;2020-10
G;KYS;BKO;30;2020-10
M;BKO;KYS;19;2020-10
M;KYS;BKO;30;2020-10
N;BKO;KYS;3;2020-10
N;KYS;BKO;2;2020-10
C;KYS;BKO;3;2020-11
D;BKO;KYS;2;2020-11
D;KYS;BKO;4;2020-11
G;BKO;KYS;12;2020-11
G;KYS;BKO;49;2020-11
M;BKO;KYS;20;2020-11
M;KYS;BKO;49;2020-11
N;BKO;KYS;2;2020-11
N;KYS;BKO;2;2020-11
C;BKO;KYS;1;2020-11
D;BKO;KYS;5;2020-11
D;KYS;BKO;1;2020-11
G;BKO;KYS;35;2020-11
G;KYS;BKO;39;2020-11
